username,time in 2 month,time in 3 month,time in 4 month,time in 5 month,time in 6 month,total time
nikitagruzdev,15.0,0.0,0.0,0.0,0.0,15.0
ovan,15.0,0.0,0.0,0.0,0.0,15.0
irvik,0.0,0.0,0.0,0.0,15.0,15.0
kjollar,14.0,0.0,0.0,0.0,0.0,14.0
tiffozy,14.0,0.0,0.0,0.0,0.0,14.0
id236340385,0.0,13.0,0.0,0.0,0.0,13.0
velesvolk,0.0,12.0,1.0,0.0,0.0,13.0
ledanik2,0.0,0.0,0.0,0.0,13.0,13.0
innavainberger,0.0,13.0,0.0,0.0,0.0,13.0
MishaTen,0.0,0.0,13.0,0.0,0.0,13.0
itiger,12.0,0.0,0.0,0.0,0.0,12.0
kiska-1998,0.0,12.0,0.0,0.0,0.0,12.0
id114268757,0.0,0.0,0.0,0.0,12.0,12.0
spbstu17370505,12.0,0.0,0.0,0.0,0.0,12.0
spbstu18355006,2.0,0.0,0.0,0.0,9.0,12.0
ionlat,0.0,12.0,0.0,0.0,0.0,12.0
markkuznetsov,0.0,12.0,0.0,0.0,0.0,12.0
vasokot,5.0,6.0,0.0,0.0,0.0,12.0
mrgshevtsova98,12.0,0.0,0.0,0.0,0.0,12.0
galievagina,12.0,0.0,0.0,0.0,0.0,12.0
bakisova,0.0,11.0,0.0,0.0,0.0,11.0
iibikmullina,0.0,0.0,5.0,6.0,0.0,11.0
dirdale,0.0,11.0,0.0,0.0,0.0,11.0
duante,11.0,0.0,0.0,0.0,0.0,11.0
hvblack,0.0,0.0,11.0,0.0,0.0,11.0
egorarkharov,0.0,11.0,0.0,0.0,0.0,11.0
lyubash_ka,0.0,3.0,8.0,0.0,0.0,11.0
thisiscreativ,0.0,0.0,0.0,0.0,11.0,11.0
igordunder99,0.0,0.0,11.0,0.0,0.0,11.0
id121285962,0.0,0.0,10.0,0.0,0.0,10.0
shatrovsv,0.0,0.0,0.0,0.0,10.0,10.0
elena_limberg,0.0,10.0,0.0,0.0,0.0,10.0
shilov_v,0.0,10.0,0.0,0.0,0.0,10.0
ksenkuyan,0.0,10.0,0.0,0.0,0.0,10.0
id9828409,0.0,10.0,0.0,0.0,0.0,10.0
glazi,10.0,0.0,0.0,0.0,0.0,10.0
oakxenia,10.0,0.0,0.0,0.0,0.0,10.0
poprygunchik,0.0,10.0,0.0,0.0,0.0,10.0
stalkeryga99,10.0,0.0,0.0,0.0,0.0,10.0
maxikozin,9.0,0.0,0.0,0.0,0.0,9.0
sorokina_dv,9.0,0.0,0.0,0.0,0.0,9.0
victorok,9.0,0.0,0.0,0.0,0.0,9.0
fstepan,9.0,0.0,0.0,0.0,0.0,9.0
ussr88,9.0,0.0,0.0,0.0,0.0,9.0
alionagolubeva,0.0,0.0,9.0,0.0,0.0,9.0
saleo,0.0,9.0,0.0,0.0,0.0,9.0
vetalaz,0.0,9.0,0.0,0.0,0.0,9.0
kiskiss,0.0,9.0,0.0,0.0,0.0,9.0
lilloss,0.0,0.0,0.0,9.0,0.0,9.0
sevalavrenov,0.0,8.0,0.0,0.0,0.0,8.0
awmira,8.0,0.0,0.0,0.0,0.0,8.0
hargrid,0.0,0.0,0.0,0.0,8.0,8.0
lemishdenis,0.0,8.0,0.0,0.0,0.0,8.0
serg44leb,8.0,0.0,0.0,0.0,0.0,8.0
rundleman,0.0,0.0,8.0,0.0,0.0,8.0
zhpavel,8.0,0.0,0.0,0.0,0.0,8.0
omeganinab22,0.0,8.0,0.0,0.0,0.0,8.0
shirokovoleg161,0.0,8.0,0.0,0.0,0.0,8.0
atluev,0.0,0.0,0.0,8.0,0.0,8.0
vnkudryavtsev,0.0,0.0,0.0,8.0,0.0,8.0
kl0000,8.0,0.0,0.0,0.0,0.0,8.0
aleksandrsivkov,0.0,7.0,0.0,0.0,0.0,7.0
id59318410,0.0,0.0,6.0,0.0,0.0,7.0
spbstu17356153,0.0,0.0,7.0,0.0,0.0,7.0
zakharov_sa,7.0,0.0,0.0,0.0,0.0,7.0
fytov_vm,0.0,0.0,0.0,7.0,0.0,7.0
sergeimikiteek,0.0,7.0,0.0,0.0,0.0,7.0
vel_xx,7.0,0.0,0.0,0.0,0.0,7.0
lira_kagarmanova,0.0,7.0,0.0,0.0,0.0,7.0
julkrivenko,0.0,0.0,0.0,0.0,7.0,7.0
kovalchukps,6.0,0.0,0.0,0.0,0.0,6.0
nepomnyashchikhsa,0.0,0.0,0.0,0.0,6.0,6.0
k_olga_v,6.0,0.0,0.0,0.0,0.0,6.0
ruslanakhmetov,4.0,1.0,0.0,0.0,0.0,6.0
dan_iil,6.0,0.0,0.0,0.0,0.0,6.0
kristina_fe,6.0,0.0,0.0,0.0,0.0,6.0
iakersberg,6.0,0.0,0.0,0.0,0.0,6.0
toncho87,0.0,5.0,0.0,0.0,0.0,5.0
antanaro,5.0,0.0,0.0,0.0,0.0,5.0
potehined,5.0,0.0,0.0,0.0,0.0,5.0
87029103370,0.0,5.0,0.0,0.0,0.0,5.0
id134874772,5.0,0.0,0.0,0.0,0.0,5.0
afrodita_88_88,0.0,1.0,0.0,3.0,0.0,5.0
natasha769913,0.0,0.0,0.0,5.0,0.0,5.0
lenabryksina,0.0,5.0,0.0,0.0,0.0,5.0
spbstu17352148,5.0,0.0,0.0,0.0,0.0,5.0
pixel3x4,5.0,0.0,0.0,0.0,0.0,5.0
aleksandralit,1.0,3.0,0.0,0.0,0.0,5.0
naetbaeva,0.0,5.0,0.0,0.0,0.0,5.0
juliyazat,5.0,0.0,0.0,0.0,0.0,5.0
darikhaiusupova,2.0,0.0,0.0,2.0,0.0,5.0
spbstu17356151,0.0,0.0,0.0,0.0,4.0,4.0
uralovich,4.0,0.0,0.0,0.0,0.0,4.0
sobolevaveronika,2.0,2.0,0.0,0.0,0.0,4.0
ktiam,4.0,0.0,0.0,0.0,0.0,4.0
msk-st,0.0,0.0,4.0,0.0,0.0,4.0
id71063857,0.0,0.0,0.0,0.0,4.0,4.0
tvgutvgu2,0.0,0.0,0.0,3.0,0.0,4.0
ElenaMeshcheriakova,4.0,0.0,0.0,0.0,0.0,4.0
kotanoff,4.0,0.0,0.0,0.0,0.0,4.0
panchuk130197,0.0,4.0,0.0,0.0,0.0,4.0
id38712398,4.0,0.0,0.0,0.0,0.0,4.0
lenavoskoboi,4.0,0.0,0.0,0.0,0.0,4.0
di_anna33,3.0,0.0,0.0,0.0,0.0,3.0
estihann,3.0,0.0,0.0,0.0,0.0,3.0
SemenRadionov,0.0,3.0,0.0,0.0,0.0,3.0
natalimakarova2,0.0,3.0,0.0,0.0,0.0,3.0
vmi123,0.0,3.0,0.0,0.0,0.0,3.0
esamandas,3.0,0.0,0.0,0.0,0.0,3.0
tatiana_tsiasliuk,3.0,0.0,0.0,0.0,0.0,3.0
uia059466,0.0,3.0,0.0,0.0,0.0,3.0
elena1077,2.0,0.0,0.0,0.0,0.0,2.0
malphy,0.0,0.0,0.0,0.0,1.0,2.0
student17370531,2.0,0.0,0.0,0.0,0.0,2.0
e_isaeva0611,0.0,0.0,0.0,2.0,0.0,2.0
Lyoha,2.0,0.0,0.0,0.0,0.0,2.0
dankadelo,0.0,0.0,0.0,2.0,0.0,2.0
spbstu17352140,2.0,0.0,0.0,0.0,0.0,2.0
yula12,2.0,0.0,0.0,0.0,0.0,2.0
dkoltsova,2.0,0.0,0.0,0.0,0.0,2.0
manun,0.0,2.0,0.0,0.0,0.0,2.0
lonely_scream,2.0,0.0,0.0,0.0,0.0,2.0
id147318103,0.0,2.0,0.0,0.0,0.0,2.0
Valermaia,2.0,0.0,0.0,0.0,0.0,2.0
akazurov,0.0,1.0,0.0,0.0,0.0,1.0
putilovdo,0.0,0.0,1.0,0.0,0.0,1.0
annshvetc,0.0,1.0,0.0,0.0,0.0,1.0
serega00713,0.0,1.0,0.0,0.0,0.0,1.0
altezza2jzgteturbo,1.0,0.0,0.0,0.0,0.0,1.0
Sergey1982,1.0,0.0,0.0,0.0,0.0,1.0
rinagka,1.0,0.0,0.0,0.0,0.0,1.0
pavlovkeith,1.0,0.0,0.0,0.0,0.0,1.0
la2lifee,0.0,1.0,0.0,0.0,0.0,1.0
av_jkv,0.0,0.0,1.0,0.0,0.0,1.0
chumakovoleksandr,0.0,0.0,0.0,0.0,0.0,1.0
id11811216,1.0,0.0,0.0,0.0,0.0,1.0
igrumos,0.0,1.0,0.0,0.0,0.0,1.0
22c844e428d54917ab7d7f33e8d314,1.0,0.0,0.0,0.0,0.0,1.0
gigamax,0.0,1.0,0.0,0.0,0.0,1.0
zirgan80,0.0,1.0,0.0,0.0,0.0,1.0
grin1910,1.0,0.0,0.0,0.0,0.0,1.0
oyamasenshi,0.0,0.0,0.0,0.0,0.0,1.0
igor193,1.0,0.0,0.0,0.0,0.0,1.0
sheelkate,0.0,1.0,0.0,0.0,0.0,1.0
vikvoe,1.0,0.0,0.0,0.0,0.0,1.0
keyzzzt,1.0,0.0,0.0,0.0,0.0,1.0
medvedevap,0.0,0.0,0.0,1.0,0.0,1.0
holly34,0.0,0.0,0.0,1.0,0.0,1.0
los_pollos,0.0,0.0,0.0,0.0,0.0,1.0
id88228328,0.0,0.0,0.0,0.0,1.0,1.0
irinabo,0.0,1.0,0.0,0.0,0.0,1.0
voskoboynikovaa,0.0,0.0,0.0,0.0,0.0,0.0
bychkova_n_v,0.0,0.0,0.0,0.0,0.0,0.0
ermolaevanas,0.0,0.0,0.0,0.0,0.0,0.0
snow_white211198,0.0,0.0,0.0,0.0,0.0,0.0
dianafrolova,0.0,0.0,0.0,0.0,0.0,0.0
igolkinasa,0.0,0.0,0.0,0.0,0.0,0.0
quiodk,0.0,0.0,0.0,0.0,0.0,0.0
aupro,0.0,0.0,0.0,0.0,0.0,0.0
vadim0006,0.0,0.0,0.0,0.0,0.0,0.0
vitalyzibulski,0.0,0.0,0.0,0.0,0.0,0.0
kristina_1,0.0,0.0,0.0,0.0,0.0,0.0
avtokatsx92,0.0,0.0,0.0,0.0,0.0,0.0
verseny,0.0,0.0,0.0,0.0,0.0,0.0
scor_key,0.0,0.0,0.0,0.0,0.0,0.0
barus,0.0,0.0,0.0,0.0,0.0,0.0
vitaliytop,0.0,0.0,0.0,0.0,0.0,0.0
natasha424,0.0,0.0,0.0,0.0,0.0,0.0
justdm,0.0,0.0,0.0,0.0,0.0,0.0
helentula,0.0,0.0,0.0,0.0,0.0,0.0
nilshat,0.0,0.0,0.0,0.0,0.0,0.0
svetlanadimitrieva,0.0,0.0,0.0,0.0,0.0,0.0
id1795589,0.0,0.0,0.0,0.0,0.0,0.0
serjo94,0.0,0.0,0.0,0.0,0.0,0.0
starrior,0.0,0.0,0.0,0.0,0.0,0.0
naumov1998,0.0,0.0,0.0,0.0,0.0,0.0
srjkaa,0.0,0.0,0.0,0.0,0.0,0.0
dok-mishanya,0.0,0.0,0.0,0.0,0.0,0.0
411412134,0.0,0.0,0.0,0.0,0.0,0.0
nesterov,0.0,0.0,0.0,0.0,0.0,0.0
vozdushnaya_pelmeshka,0.0,0.0,0.0,0.0,0.0,0.0
stacenkoni,0.0,0.0,0.0,0.0,0.0,0.0
r_nikitin,0.0,0.0,0.0,0.0,0.0,0.0
alexanderkuz,0.0,0.0,0.0,0.0,0.0,0.0
ufnv,0.0,0.0,0.0,0.0,0.0,0.0
dimkamitin,0.0,0.0,0.0,0.0,0.0,0.0
aleksandrgolovin2,0.0,0.0,0.0,0.0,0.0,0.0
marcydi,0.0,0.0,0.0,0.0,0.0,0.0
dmitrievlad,0.0,0.0,0.0,0.0,0.0,0.0
mvkvrow,0.0,0.0,0.0,0.0,0.0,0.0
votano,0.0,0.0,0.0,0.0,0.0,0.0
spbstu17356157,0.0,0.0,0.0,0.0,0.0,0.0
roman18,0.0,0.0,0.0,0.0,0.0,0.0
maksaudv,0.0,0.0,0.0,0.0,0.0,0.0
polka813,0.0,0.0,0.0,0.0,0.0,0.0
spbstu17378205,0.0,0.0,0.0,0.0,0.0,0.0
posmotri_nalevo,0.0,0.0,0.0,0.0,0.0,0.0
marsharp,0.0,0.0,0.0,0.0,0.0,0.0
skynet3322,0.0,0.0,0.0,0.0,0.0,0.0
olgasvl,0.0,0.0,0.0,0.0,0.0,0.0
karenchrakian,0.0,0.0,0.0,0.0,0.0,0.0
gvnatalia,0.0,0.0,0.0,0.0,0.0,0.0
energiya,0.0,0.0,0.0,0.0,0.0,0.0
zakharoff_m,0.0,0.0,0.0,0.0,0.0,0.0
vladkovalev,0.0,0.0,0.0,0.0,0.0,0.0
barbanakoff,0.0,0.0,0.0,0.0,0.0,0.0
lasskij_d_n,0.0,0.0,0.0,0.0,0.0,0.0
torolund,0.0,0.0,0.0,0.0,0.0,0.0
istrannik1984,0.0,0.0,0.0,0.0,0.0,0.0
id134091423,0.0,0.0,0.0,0.0,0.0,0.0
elfucio,0.0,0.0,0.0,0.0,0.0,0.0
diffurka,0.0,0.0,0.0,0.0,0.0,0.0
sergeybaskov,0.0,0.0,0.0,0.0,0.0,0.0
plothick,0.0,0.0,0.0,0.0,0.0,0.0
polinatomashik,0.0,0.0,0.0,0.0,0.0,0.0
id359564978,0.0,0.0,0.0,0.0,0.0,0.0
b199899,0.0,0.0,0.0,0.0,0.0,0.0
IliaFomin,0.0,0.0,0.0,0.0,0.0,0.0
protean,0.0,0.0,0.0,0.0,0.0,0.0
sergned,0.0,0.0,0.0,0.0,0.0,0.0
angelgardt,0.0,0.0,0.0,0.0,0.0,0.0
nerv_port,0.0,0.0,0.0,0.0,0.0,0.0
sabos,0.0,0.0,0.0,0.0,0.0,0.0
id188175443,0.0,0.0,0.0,0.0,0.0,0.0
krylovad,0.0,0.0,0.0,0.0,0.0,0.0
tmentost,0.0,0.0,0.0,0.0,0.0,0.0
dmitriiruzavin,0.0,0.0,0.0,0.0,0.0,0.0
petiagunchenko,0.0,0.0,0.0,0.0,0.0,0.0
Orchideous,0.0,0.0,0.0,0.0,0.0,0.0
qwiqser,0.0,0.0,0.0,0.0,0.0,0.0
disibi,0.0,0.0,0.0,0.0,0.0,0.0
yerlan_mendybayev,0.0,0.0,0.0,0.0,0.0,0.0
sm_salun,0.0,0.0,0.0,0.0,0.0,0.0
vitka_fox,0.0,0.0,0.0,0.0,0.0,0.0
ilanka26,0.0,0.0,0.0,0.0,0.0,0.0
gorbachevairina97,0.0,0.0,0.0,0.0,0.0,0.0
AnnaBykova4,0.0,0.0,0.0,0.0,0.0,0.0
marina7977,0.0,0.0,0.0,0.0,0.0,0.0
k_katuxe,0.0,0.0,0.0,0.0,0.0,0.0
TatianaBabintseva,0.0,0.0,0.0,0.0,0.0,0.0
loewegroup,0.0,0.0,0.0,0.0,0.0,0.0
simonenkomarina,0.0,0.0,0.0,0.0,0.0,0.0
dmitriiriabov3,0.0,0.0,0.0,0.0,0.0,0.0
serhiiyaroshenko,0.0,0.0,0.0,0.0,0.0,0.0
chaosofreal,0.0,0.0,0.0,0.0,0.0,0.0
go0dw1ne,0.0,0.0,0.0,0.0,0.0,0.0
536864,0.0,0.0,0.0,0.0,0.0,0.0
menzulova,0.0,0.0,0.0,0.0,0.0,0.0
yancki_z,0.0,0.0,0.0,0.0,0.0,0.0
expertn14,0.0,0.0,0.0,0.0,0.0,0.0
vladimirkliuchnikov,0.0,0.0,0.0,0.0,0.0,0.0
didididiana10,0.0,0.0,0.0,0.0,0.0,0.0
fda_polytech,0.0,0.0,0.0,0.0,0.0,0.0
efimova0908,0.0,0.0,0.0,0.0,0.0,0.0
id99700886,0.0,0.0,0.0,0.0,0.0,0.0
id301456544,0.0,0.0,0.0,0.0,0.0,0.0
sitdik1990,0.0,0.0,0.0,0.0,0.0,0.0
nina_b22,0.0,0.0,0.0,0.0,0.0,0.0
annabykova4,0.0,0.0,0.0,0.0,0.0,0.0
mdv43,0.0,0.0,0.0,0.0,0.0,0.0
von_leeb,0.0,0.0,0.0,0.0,0.0,0.0
id151910206,0.0,0.0,0.0,0.0,0.0,0.0
alitvinov73,0.0,0.0,0.0,0.0,0.0,0.0
__and_,0.0,0.0,0.0,0.0,0.0,0.0
nazgulgulnaz,0.0,0.0,0.0,0.0,0.0,0.0
puekk,0.0,0.0,0.0,0.0,0.0,0.0
VictoriaShenkevich,0.0,0.0,0.0,0.0,0.0,0.0
anastasiya_mamay,0.0,0.0,0.0,0.0,0.0,0.0
janit_n,0.0,0.0,0.0,0.0,0.0,0.0
limpopo0550,0.0,0.0,0.0,0.0,0.0,0.0
treibsand,0.0,0.0,0.0,0.0,0.0,0.0
ivan95,0.0,0.0,0.0,0.0,0.0,0.0
asya45,0.0,0.0,0.0,0.0,0.0,0.0
k0sfer,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
craycentel,0.0,0.0,0.0,0.0,0.0,0.0
id3406867,0.0,0.0,0.0,0.0,0.0,0.0
tasha28,0.0,0.0,0.0,0.0,0.0,0.0
ekaterinalazarevskaia,0.0,0.0,0.0,0.0,0.0,0.0
barolksl,0.0,0.0,0.0,0.0,0.0,0.0
vctr,0.0,0.0,0.0,0.0,0.0,0.0
arkadiipelsis,0.0,0.0,0.0,0.0,0.0,0.0
andreus,0.0,0.0,0.0,0.0,0.0,0.0
andc,0.0,0.0,0.0,0.0,0.0,0.0
kesha787898,0.0,0.0,0.0,0.0,0.0,0.0
spbstu16460008,0.0,0.0,0.0,0.0,0.0,0.0
potemkina1969,0.0,0.0,0.0,0.0,0.0,0.0
evsido,0.0,0.0,0.0,0.0,0.0,0.0
zmei83666,0.0,0.0,0.0,0.0,0.0,0.0
tavvet,0.0,0.0,0.0,0.0,0.0,0.0
nrisus,0.0,0.0,0.0,0.0,0.0,0.0
pastukhova_a,0.0,0.0,0.0,0.0,0.0,0.0
id264759394,0.0,0.0,0.0,0.0,0.0,0.0
sergeypodkorytov,0.0,0.0,0.0,0.0,0.0,0.0
enn_shi,0.0,0.0,0.0,0.0,0.0,0.0
marina-club,0.0,0.0,0.0,0.0,0.0,0.0
sergey94,0.0,0.0,0.0,0.0,0.0,0.0
stasyalasovskaya,0.0,0.0,0.0,0.0,0.0,0.0
id2034099,0.0,0.0,0.0,0.0,0.0,0.0
anastasiiavasinskaia,0.0,0.0,0.0,0.0,0.0,0.0
sergeyatrunilov,0.0,0.0,0.0,0.0,0.0,0.0
spbstu16330442,0.0,0.0,0.0,0.0,0.0,0.0
angelinavoskresenskaia,0.0,0.0,0.0,0.0,0.0,0.0
copenhagentea,0.0,0.0,0.0,0.0,0.0,0.0
l-vera,0.0,0.0,0.0,0.0,0.0,0.0
onprizrakprizraka,0.0,0.0,0.0,0.0,0.0,0.0
sheyker642,0.0,0.0,0.0,0.0,0.0,0.0
ak_wrk,0.0,0.0,0.0,0.0,0.0,0.0
naduyshca,0.0,0.0,0.0,0.0,0.0,0.0
g0rdey,0.0,0.0,0.0,0.0,0.0,0.0
s11011me,0.0,0.0,0.0,0.0,0.0,0.0
