user_name                                 user_id
ambitious-fit-humpbackwhale                512262
ambitious-fit-malbrouck                    788533
ambitious-gentle-pufferfish                899587
ambitious-glamorous-commonseal             629944
ambitious-handsome-culpeo                  903808
ambitious-handsome-lionfish                545600
ambitious-kind-royalpenguin                899314
ambitious-lively-deer                      973978
ambitious-muscular-pudu                    544415
ambitious-mushy-wallaby                    901849
ambitious-nice-boar                        767770
ambitious-nice-numbat                      897832
ambitious-nice-platypus                   1020685
ambitious-nice-pygmyoctopus               1039387
ambitious-odd-hummingbird                  915862
ambitious-plain-impala                    1043623
ambitious-plump-emperorpenguin             925060
ambitious-plump-muskox                     557174
ambitious-polite-easternmole               902398
ambitious-polite-kiwi                      511875
ambitious-poor-mouflon                     901543
ambitious-powerful-seaotter               1157890
ambitious-powerful-slothbear               424697
ambitious-proud-pangolin                  1044046
ambitious-rich-gaur                        904837
ambitious-scruffy-yak                      898759
ambitious-shapely-manedwolf                997153
ambitious-shapely-pudu                    1165882
ambitious-shapely-rockhyrax                511542
ambitious-shy-hartebeest                   615712
ambitious-shy-squirrelmonkey              1020760
ambitious-skinny-olingo                   1206664
ambitious-stocky-coyote                   1043551
ambitious-tender-pangolin                  901066
ambitious-thankful-chameleon               233585
ambitious-thankful-spectacledbear          900643
ambitious-ugly-nakedmolerat                863956
ambitious-unimportant-dugong              1044223
ambitious-unimportant-gundi               1163608
ambitious-unimportant-oribi                 66305
ambitious-unkempt-capybara                1154281
ambitious-unkempt-siamang                  988435
ambitious-unsightly-manedwolf              998302
ambitious-vast-hartebeest                  898828
ambitious-witty-domesticsheep              516045
ambitious-wonderful-beardedsaki           1078714
ambitious-wonderful-solenodon              417875
ambitious-wrong-caracal                    898633
ambitious-zealous-kangaroo                 543656
ambitious-zealous-topi                     412220
ambitious-zealous-weasel                   900886
attractive-aggressive-humpbackwhale        898366
attractive-aggressive-rossseal             967216
attractive-agreeable-arcticfox             649777
attractive-agreeable-coypu                 189423
attractive-agreeable-kowari                899413
attractive-beautiful-butterflyfish        1105867
attractive-better-chickadee                582377
attractive-better-wallaroo                1215472
attractive-brave-sitatunga                 899302
attractive-calm-bison                      539045
attractive-calm-pademelon                  898531
attractive-calm-peacock                    486584
attractive-careful-desman                 1079998
attractive-clean-humpbackwhale            1129336
attractive-clever-springhaas               272884
attractive-dead-dwarfzebu                  900547
attractive-dead-prairiedog                 904714
attractive-easy-bonobo                     901252
attractive-easy-owl                        957031
attractive-faithful-galago                1088596
attractive-faithful-ribbonseal             899455
attractive-faithful-zebra                 1120309
attractive-fancy-gentoopenguin            1109902
attractive-fancy-potto                    1084093
attractive-fancy-rabbit                    902482
attractive-fit-civetcat                   1030105
attractive-flabby-lionfish                 515268
attractive-gorgeous-addax                 1043209
attractive-handsome-pademelon             1111003
attractive-happy-gerbil                    903445
attractive-helpful-spottedhyena            899884
attractive-helpful-tur                     868432
attractive-important-yak                   816022
attractive-jolly-hutia                    1150921
attractive-kind-aardwolf                  1020694
attractive-magnificent-quetzal             681301
attractive-nice-antechinus                 817537
attractive-nice-kuhliloach                 515436
attractive-nice-muntjac                    895681
attractive-plump-rockhyrax                 448956
attractive-polite-kuhliloach               312120
attractive-poor-okapi                     1218469
attractive-rich-muntjac                    901465
attractive-rich-siamang                    897295
attractive-scruffy-vervet                  901138
attractive-short-kiwi                      580334
attractive-silly-ocelot                   1210468
attractive-skinny-civetcat                 899152
attractive-skinny-oryx                    1234037
attractive-skinny-suslik                   843019
attractive-stocky-ibex                    1142251
attractive-tender-guenon                  1043662
attractive-tender-kob                      884221
attractive-thankful-khanyou               1042768
attractive-ugly-coelacanth                1237447
attractive-unimportant-meerkat             587908
attractive-unimportant-panther             449897
attractive-unimportant-takin               525281
attractive-uninterested-sable              542372
attractive-victorious-leopardseal         1310171
attractive-witty-gazelle                   899287
attractive-wonderful-mallard              1237581
