  user_id  time_on_course
  1340757  1 day, 6:14:29
   528521  1 day, 6:10:37
   302635  1 day, 5:55:21
  1357264  1 day, 5:35:02
   835119  1 day, 5:21:45
  1307173  1 day, 4:54:13
  1383171  1 day, 4:37:22
   417026  1 day, 4:08:27
   620770  1 day, 3:45:03
  1310979  1 day, 3:36:10
   425283  1 day, 3:14:57
  1307179  1 day, 3:02:17
  1307187  1 day, 2:59:18
   416520  1 day, 2:39:47
   698809  1 day, 2:27:16
  1383197  1 day, 2:16:27
  1309968  1 day, 1:42:45
  1316359  1 day, 1:38:04
   423653  1 day, 1:03:30
  1312162  1 day, 0:58:02
  1383195  1 day, 0:22:55
  1352182  1 day, 0:11:55
  1327407  1 day, 0:06:11
  1386410  23:22:14
   204436  23:02:17
    36460  21:58:48
  1326332  21:52:33
   383894  21:49:00
  1307168  21:01:19
  1338193  20:43:07
  1339308  20:42:26
  1338200  20:40:12
    11745  20:38:46
   410091  20:34:37
  1307172  20:23:14
   219404  19:40:12
  1310360  19:33:40
   416518  19:26:48
  1309047  18:49:58
     3844  18:46:22
   772288  18:44:03
   223006  18:34:26
   549329  18:21:55
   223506  18:15:03
  1348107  18:14:55
  1307169  18:01:05
  1389754  17:53:51
   287033  17:52:28
  1393235  17:50:13
   228200  17:24:27
   356439  17:22:34
  1306089  17:04:57
     4236  17:02:49
  1316027  16:26:38
  1322257  16:13:29
   507567  16:13:26
  1040560  16:05:52
  1339675  15:35:35
  1238609  15:34:15
  1310431  15:23:08
   841486  15:22:22
  1381463  15:13:26
  1098337  14:58:07
  1096420  14:54:04
  1400425  14:46:48
  1390316  14:35:25
  1359588  14:31:33
  1301529  14:27:57
  1305403  14:11:27
  1096621  14:09:25
   414344  14:03:15
  1388374  13:58:18
   440861  13:54:05
  1321683  13:43:30
  1039111  13:42:44
  1252887  13:29:12
   387943  13:23:01
   231201  13:22:57
  1280503  13:18:46
  1316284  13:15:24
  1348963  13:09:17
  1335474  13:02:47
   291170  12:57:46
   426431  12:54:55
  1307182  12:47:49
  1252253  12:41:59
   778276  12:21:43
  1326128  12:17:35
   239663  12:14:25
   140851  12:12:09
  1389807  12:00:16
  1383298  11:56:45
  1395285  11:53:27
   383782  11:51:46
   159274  11:50:52
  1296440  11:41:37
   671860  11:39:21
   391348  11:31:25
    25681  11:12:32
     3720  10:55:37
  1267667  10:51:23
    82443  10:43:52
   250606  10:42:18
  1370176  10:31:10
  1364097  10:05:01
   616420  10:02:00
  1299750  9:56:03
  1355692  9:44:50
  1096714  9:43:43
  1369196  9:43:09
  1379285  9:38:19
   288618  9:37:24
  1376804  9:35:23
  1050382  9:33:59
  1077133  9:30:13
  1392500  9:24:03
  1377583  9:22:36
  1273809  9:20:42
  1327423  9:09:41
  1333809  9:07:52
  1307184  8:56:33
   371456  8:43:22
   343606  8:40:26
  1331973  8:36:41
  1188118  8:34:50
   913288  8:32:22
  1371252  8:27:50
   383897  8:26:58
  1027204  8:22:51
  1352662  8:21:31
  1325704  8:19:33
   466114  7:56:37
